Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
Toronto,30,35,9,13,8,33,41,-8,7,7,351,267,87,58,7,2010,30.991,306.795,20.453,15,5,0.66,0.6923076923076923
Chicago,30,45,11,7,12,39,34,5,5,5,251,372,70,46,4,2009,24.955,220.331,14.689,15,1,0.589,1.5714285714285714
Chivas,30,45,13,11,6,34,31,3,4,3,412,316,94,63,7,2009,18.8,226.375,15.092,15,-,0.803,1.1818181818181819
Colorado,30,40,10,10,10,42,38,4,8,5,330,319,66,55,2,2009,18.086,184.963,12.331,15,-,0.682,1.0
Columbus,30,49,13,7,10,41,31,10,5,1,354,375,88,57,7,2009,20.011,216.699,14.447,15,-,0.722,1.8571428571428572
D.C.,30,40,9,8,13,43,44,-1,8,5,356,319,74,66,4,2009,20.0,241.322,16.088,15,-,0.804,1.125
Dallas,30,39,11,13,6,50,47,3,5,4,299,362,74,52,5,2009,20.5,186.612,12.441,15,-,0.607,0.8461538461538461
Houston,30,48,13,8,9,39,29,10,4,2,354,374,90,55,8,2009,22.039,255.712,17.047,15,-,0.774,1.625
Kansas City,30,33,8,13,9,33,42,-9,4,3,338,339,76,57,6,2009,21.0,150.802,10.053,15,2,0.479,0.6153846153846154
LAFC,30,48,12,6,12,36,31,5,6,5,389,343,50,49,7,2009,27.0,306.24,20.416,15,2,0.756,2.0
New England,30,42,11,10,9,33,37,-4,5,2,326,387,63,50,4,2009,20.0,205.959,13.731,15,-,0.687,1.1
New York,30,21,5,19,6,27,47,-20,7,5,358,328,74,45,8,2009,25.0,187.359,12.491,15,-,0.5,0.2631578947368421
Salt Lake,30,40,11,12,7,43,35,8,3,1,370,308,64,69,8,2009,20.213,245.628,16.375,15,-,0.81,0.9166666666666666
San Jose,30,30,7,14,9,36,50,-14,5,3,341,337,68,61,1,2009,18.0,211.717,14.114,15,2,0.784,0.5
Seattle,30,47,12,7,11,38,29,9,3,1,353,402,91,59,8,2009,37.722,466.455,31.097,15,-,0.824,1.7142857142857142
Toronto,30,39,10,11,9,37,46,-9,5,4,328,277,102,57,3,2009,30.991,305.167,20.344,15,1,0.657,0.9090909090909091
Chicago,30,46,13,10,7,44,33,11,3,0,333,390,72,55,2,2008,24.955,255.511,17.034,15,2,0.683,1.3
Chivas,30,43,12,11,7,40,41,-1,4,3,495,378,88,65,6,2008,18.8,226.717,15.114,15,1,0.804,1.0909090909090908
Colorado,30,38,11,14,5,44,45,-1,7,4,346,376,68,47,5,2008,18.086,204.884,13.659,15,2,0.755,0.7857142857142857
Columbus,30,57,17,7,6,50,36,14,5,2,326,401,73,52,4,2008,20.011,219.332,14.622,15,1,0.731,2.4285714285714284
D.C.,30,37,11,15,4,43,51,-8,5,0,379,377,78,66,6,2008,20.0,297.531,19.835,15,-,0.992,0.7333333333333333
Dallas,30,36,8,10,12,45,41,4,4,2,371,380,95,55,7,2008,20.5,195.356,13.024,15,1,0.635,0.8
Houston,30,51,13,5,12,45,32,13,4,0,375,385,110,53,3,2008,22.039,254.083,16.939,15,-,0.769,2.6
Kansas City,30,42,11,10,9,37,39,-2,4,3,321,379,103,49,2,2008,21.0,160.286,10.686,15,5,0.509,1.1
LAFC,30,33,8,13,9,55,62,-7,4,4,381,350,87,52,3,2008,27.0,390.132,26.009,15,10,0.963,0.6153846153846154
New England,30,43,12,11,7,40,43,-3,4,3,358,417,49,44,5,2008,20.0,263.706,17.58,15,-,0.879,1.0909090909090908
